GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flowstore,life.qbic.flowstore.domain,WeblogStorageException,135,0,6,0,6,0,8,0,3,0
flowstore,life.qbic.flowstore.domain,Workflow,38,244,2,2,8,16,2,7,0,7
flowstore,life.qbic.flowstore.domain,Contact,135,0,0,0,10,0,2,0,2,0
flowstore,life.qbic.flowstore.domain,Workflow._withRunAndMetadataInfo_closure3,24,63,0,0,1,3,2,2,2,2
flowstore,life.qbic.flowstore.domain,Trace,22,141,7,7,4,13,6,5,0,4
flowstore,life.qbic.flowstore.domain,MetaData,56,107,11,3,8,9,7,4,0,4
flowstore,life.qbic.flowstore.domain,WorkflowInfoCenter,95,0,0,0,12,0,6,0,6,0
flowstore,life.qbic.flowstore.domain,RunInfo,161,164,5,5,11,10,6,3,1,3
flowstore,life.qbic.flowstore.domain,Workflow._withRunInfo_closure4,13,57,0,0,1,3,1,2,1,2
flowstore,life.qbic.flowstore.domain,Workflow._withRunAndTraceInfo_closure2,24,63,0,0,1,3,2,2,2,2
flowstore,life.qbic.flowstore.domain,NextflowEventType,0,167,0,0,0,0,0,1,0,1
flowstore,life.qbic.flowstore.domain,Workflow._createFromJson_closure1,10,68,0,0,1,3,1,2,1,2
flowstore,life.qbic.flowstore,Flowstore.new Runnable() {...},14,0,0,0,3,0,1,0,1,0
flowstore,life.qbic.flowstore,Flowstore,37,0,0,0,6,0,3,0,3,0
flowstore,life.qbic.flowstore.database,MariaDBStorage,3063,0,70,0,174,0,62,0,27,0
flowstore,life.qbic.flowstore.database,MariaDBStorage._tryToFindAllRunInfo_closure4,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.flowstore.database,MariaDBStorage._findRunWithRunId_closure2,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.flowstore.database,MariaDBStorage._findMetadataForRunWithForeignKey_closure3,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.flowstore.database,MariaDBStorage._findTracesForRunWithPrimaryKey_closure1,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.flowstore.endpoints,WorkflowsController,652,0,22,0,52,0,19,0,8,0
